1564,795,447,443,330,453,755,953,1650,2442,3230,3575,4139,3892,3989,4294,4521,4280,3945,3169,2772,2213,1570,1065
1335,769,570,413,399,740,1420,2220,3479,4546,4579,4438,4623,4440,4495,4483,4591,4477,4221,3672,3015,2769,2875,1931
598,369,312,367,835,2726,5689,6990,5985,5309,4603,4884,5104,5178,5501,5713,6292,6057,4907,3503,3037,2822,1992,1166
455,336,265,314,779,2571,5563,6676,5966,4832,4395,4411,4648,4602,5125,5502,5979,5663,4259,3069,2378,2030,1400,917
500,324,257,354,769,2769,5789,7055,6408,5254,4547,4784,5015,5057,5430,5813,6496,6429,5142,3311,2777,2331,1767,1093
654,374,301,397,794,2564,5358,6441,5536,5256,4619,5107,5147,5283,5704,5887,6307,5953,4519,3427,2921,2649,2005,1177
511,346,253,349,807,2669,5210,6083,5790,5484,4407,4725,4826,4945,5065,5618,6094,5844,4649,3180,2963,2450,1613,1021
1159,822,641,411,468,723,1415,2191,3185,4076,4522,6012,5975,5307,4678,4405,4403,4311,4198,3475,3078,2931,2941,2240
1166,724,568,343,383,703,1229,2057,3246,4390,4573,4269,4833,4442,4397,4314,4413,4125,4004,3404,2777,2579,2552,1952

